,date,Appliances
0,2016-01-11 17:00:00,60.01
1,2016-01-11 17:10:00,60.51
2,2016-01-11 17:20:00,51.01
3,2016-01-11 17:30:00,51.51
4,2016-01-11 17:40:00,62.01
5,2016-01-11 17:50:00,52.51
6,2016-01-11 18:00:00,63.01
7,2016-01-11 18:10:00,63.51
8,2016-01-11 18:20:00,64.01
9,2016-01-11 18:30:00,74.51
10,2016-01-11 18:40:00,235.01
11,2016-01-11 18:50:00,585.51
12,2016-01-11 19:00:00,436.01
13,2016-01-11 19:10:00,256.51
14,2016-01-11 19:20:00,107.01
15,2016-01-11 19:30:00,107.51
16,2016-01-11 19:40:00,98.01
17,2016-01-11 19:50:00,78.51
18,2016-01-11 20:00:00,89.01
19,2016-01-11 20:10:00,149.51
20,2016-01-11 20:20:00,130.01
21,2016-01-11 20:30:00,200.51
22,2016-01-11 20:40:00,121.01
23,2016-01-11 20:50:00,121.51
24,2016-01-11 21:00:00,122.01
25,2016-01-11 21:10:00,122.51
26,2016-01-11 21:20:00,113.01
27,2016-01-11 21:30:00,113.51
28,2016-01-11 21:40:00,114.01
29,2016-01-11 21:50:00,114.51
30,2016-01-11 22:00:00,125.01
31,2016-01-11 22:10:00,415.51
32,2016-01-11 22:20:00,416.01
33,2016-01-11 22:30:00,406.51
34,2016-01-11 22:40:00,257.01
35,2016-01-11 22:50:00,77.51
36,2016-01-11 23:00:00,78.01
37,2016-01-11 23:10:00,78.51
38,2016-01-11 23:20:00,69.01
39,2016-01-11 23:30:00,89.51
40,2016-01-11 23:40:00,80.01
41,2016-01-11 23:50:00,60.510000000000005
42,2016-01-12 00:00:00,61.010000000000005
43,2016-01-12 00:10:00,51.510000000000005
44,2016-01-12 00:20:00,62.010000000000005
45,2016-01-12 00:30:00,72.51
46,2016-01-12 00:40:00,333.01
47,2016-01-12 00:50:00,403.51
48,2016-01-12 01:00:00,404.01
49,2016-01-12 01:10:00,394.51
50,2016-01-12 01:20:00,145.01
51,2016-01-12 01:30:00,75.51
52,2016-01-12 01:40:00,66.01
53,2016-01-12 01:50:00,76.51
54,2016-01-12 02:00:00,67.01
55,2016-01-12 02:10:00,77.51
56,2016-01-12 02:20:00,78.01
57,2016-01-12 02:30:00,78.51
58,2016-01-12 02:40:00,69.01
59,2016-01-12 02:50:00,69.51
60,2016-01-12 03:00:00,60.010000000000005
61,2016-01-12 03:10:00,50.510000000000005
62,2016-01-12 03:20:00,51.010000000000005
63,2016-01-12 03:30:00,71.51
64,2016-01-12 03:40:00,82.00999999999999
65,2016-01-12 03:50:00,82.50999999999999
66,2016-01-12 04:00:00,73.00999999999999
67,2016-01-12 04:10:00,83.50999999999999
68,2016-01-12 04:20:00,74.00999999999999
69,2016-01-12 04:30:00,74.50999999999999
70,2016-01-12 04:40:00,75.00999999999999
71,2016-01-12 04:50:00,95.50999999999999
72,2016-01-12 05:00:00,86.00999999999999
73,2016-01-12 05:10:00,86.50999999999999
74,2016-01-12 05:20:00,77.00999999999999
75,2016-01-12 05:30:00,77.50999999999999
76,2016-01-12 05:40:00,78.00999999999999
77,2016-01-12 05:50:00,78.50999999999999
78,2016-01-12 06:00:00,89.00999999999999
79,2016-01-12 06:10:00,109.50999999999999
80,2016-01-12 06:20:00,80.00999999999999
81,2016-01-12 06:30:00,70.50999999999999
82,2016-01-12 06:40:00,61.01
83,2016-01-12 06:50:00,71.50999999999999
84,2016-01-12 07:00:00,82.00999999999999
